,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Year,Month,Days,Week,City,Total Revenue
47,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 10:11:00,"143 5th St, Portland, OR 97035",2019,7,19,29,Portland,2.990000009536743
65,Wired Headphones,1.0,11.989999771118164,2019-07-19 16:15:00,"541 Hickory St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,11.989999771118164
80,AA Batteries (4-pack),2.0,2.990000009536743,2019-07-19 18:33:00,"419 Jackson St, New York City, NY 10001",2019,7,19,29,New York City,5.980000019073486
90,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 20:29:00,"670 10th St, Atlanta, GA 30301",2019,7,19,29,Atlanta,2.990000009536743
132,Apple Airpods Headphones,1.0,150.0,2019-07-19 20:05:00,"395 West St, Austin, TX 73301",2019,7,19,29,Austin,150.0
163,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 08:29:00,"172 Adams St, Boston, MA 02215",2019,7,19,29,Boston,2.990000009536743
221,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 19:28:00,"593 Ridge St, San Francisco, CA 94016",2019,7,19,29,San Francisco,11.949999809265137
274,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 18:44:00,"532 5th St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,2.990000009536743
345,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 20:33:00,"651 Washington St, Boston, MA 02215",2019,7,19,29,Boston,11.949999809265137
359,Flatscreen TV,1.0,300.0,2019-07-19 20:36:00,"144 Spruce St, Austin, TX 73301",2019,7,19,29,Austin,300.0
365,USB-C Charging Cable,1.0,11.949999809265137,2019-07-19 12:30:00,"498 South St, San Francisco, CA 94016",2019,7,19,29,San Francisco,11.949999809265137
501,USB-C Charging Cable,2.0,11.949999809265137,2019-07-19 08:58:00,"861 Spruce St, Boston, MA 02215",2019,7,19,29,Boston,23.899999618530273
505,27in 4K Gaming Monitor,1.0,389.989990234375,2019-07-19 10:30:00,"621 Lakeview St, New York City, NY 10001",2019,7,19,29,New York City,389.989990234375
538,AA Batteries (4-pack),1.0,2.990000009536743,2019-07-19 19:47:00,"607 Pine St, Los Angeles, CA 90001",2019,7,19,29,Los Angeles,2.990000009536743
568,Flatscreen TV,1.0,300.0,2019-07-19 12:47:00,"830 Main St, New York City, NY 10001",2019,7,19,29,New York City,300.0
